time_iso8601,forks_cumulative
2024-07-16 00:00:00+00:00,40259
2024-07-17 00:00:00+00:00,40282
2024-07-18 00:00:00+00:00,40324
2024-07-19 00:00:00+00:00,40351
2024-07-20 00:00:00+00:00,40362
2024-07-21 00:00:00+00:00,40383
2024-07-22 00:00:00+00:00,40395
2024-07-23 00:00:00+00:00,40410
2024-07-24 00:00:00+00:00,40435
2024-07-25 00:00:00+00:00,40451
2024-07-26 00:00:00+00:00,40467
2024-07-27 00:00:00+00:00,40481
2024-07-28 00:00:00+00:00,40492
2024-07-29 00:00:00+00:00,40511
2024-07-30 00:00:00+00:00,40528
2024-07-31 00:00:00+00:00,40541
2024-08-01 00:00:00+00:00,40561
2024-08-02 00:00:00+00:00,40581
2024-08-03 00:00:00+00:00,40589
2024-08-04 00:00:00+00:00,40603
2024-08-05 00:00:00+00:00,40616
2024-08-06 00:00:00+00:00,40630
2024-08-07 00:00:00+00:00,40650
2024-08-08 00:00:00+00:00,40668
2024-08-09 00:00:00+00:00,40679
2024-08-10 00:00:00+00:00,40690
2024-08-11 00:00:00+00:00,40699
2024-08-12 00:00:00+00:00,40709
2024-08-13 00:00:00+00:00,40725
2024-08-14 00:00:00+00:00,40751
2024-08-15 00:00:00+00:00,40771
2024-08-16 00:00:00+00:00,40787
2024-08-17 00:00:00+00:00,40794
2024-08-18 00:00:00+00:00,40808
2024-08-19 00:00:00+00:00,40816
2024-08-20 00:00:00+00:00,40829
2024-08-21 00:00:00+00:00,40841
2024-08-22 00:00:00+00:00,40855
2024-08-23 00:00:00+00:00,40864
2024-08-24 00:00:00+00:00,40871
2024-08-25 00:00:00+00:00,40882
2024-08-26 00:00:00+00:00,40894
2024-08-27 00:00:00+00:00,40904
2024-08-28 00:00:00+00:00,40919
2024-08-29 00:00:00+00:00,40932
2024-08-30 00:00:00+00:00,40940
2024-08-31 00:00:00+00:00,40948
2024-09-01 00:00:00+00:00,40955
2024-09-02 00:00:00+00:00,40972
2024-09-03 00:00:00+00:00,40986
2024-09-04 00:00:00+00:00,41001
2024-09-05 00:00:00+00:00,41006
2024-09-06 00:00:00+00:00,41019
2024-09-07 00:00:00+00:00,41032
2024-09-08 00:00:00+00:00,41042
2024-09-09 00:00:00+00:00,41053
2024-09-10 00:00:00+00:00,41058
2024-09-11 00:00:00+00:00,41064
2024-09-12 00:00:00+00:00,41080
2024-09-13 00:00:00+00:00,41094
2024-09-14 00:00:00+00:00,41104
2024-09-15 00:00:00+00:00,41126
2024-09-16 00:00:00+00:00,41141
2024-09-17 00:00:00+00:00,41152
2024-09-18 00:00:00+00:00,41174
2024-09-19 00:00:00+00:00,41202
2024-09-20 00:00:00+00:00,41224
2024-09-21 00:00:00+00:00,41235
2024-09-22 00:00:00+00:00,41256
2024-09-23 00:00:00+00:00,41279
2024-09-24 00:00:00+00:00,41295
2024-09-25 00:00:00+00:00,41311
2024-09-26 00:00:00+00:00,41317
2024-09-27 00:00:00+00:00,41326
2024-09-28 00:00:00+00:00,41333
2024-09-29 00:00:00+00:00,41344
2024-09-30 00:00:00+00:00,41355
2024-10-01 00:00:00+00:00,41361
2024-10-02 00:00:00+00:00,41377
2024-10-03 00:00:00+00:00,41398
2024-10-04 00:00:00+00:00,41405
2024-10-05 00:00:00+00:00,41413
2024-10-06 00:00:00+00:00,41426
2024-10-07 00:00:00+00:00,41437
2024-10-08 00:00:00+00:00,41448
2024-10-09 00:00:00+00:00,41457
2024-10-10 00:00:00+00:00,41465
2024-10-11 00:00:00+00:00,41474
2024-10-12 00:00:00+00:00,41490
2024-10-13 00:00:00+00:00,41493
2024-10-14 00:00:00+00:00,41505
2024-10-15 00:00:00+00:00,41518
2024-10-16 00:00:00+00:00,41531
2024-10-17 00:00:00+00:00,41535
2024-10-18 00:00:00+00:00,41545
2024-10-19 00:00:00+00:00,41554
2024-10-20 00:00:00+00:00,41562
2024-10-21 00:00:00+00:00,41571
2024-10-22 00:00:00+00:00,41579
2024-10-23 00:00:00+00:00,41586
2024-10-24 00:00:00+00:00,41604
2024-10-25 00:00:00+00:00,41617
2024-10-26 00:00:00+00:00,41628
2024-10-27 00:00:00+00:00,41641
2024-10-28 00:00:00+00:00,41653
2024-10-29 00:00:00+00:00,41663
2024-10-30 00:00:00+00:00,41674
2024-10-31 00:00:00+00:00,41684
2024-11-01 00:00:00+00:00,41693
2024-11-02 00:00:00+00:00,41704
2024-11-03 00:00:00+00:00,41708
2024-11-04 00:00:00+00:00,41712
2024-11-05 00:00:00+00:00,41722
2024-11-06 00:00:00+00:00,41730
2024-11-07 00:00:00+00:00,41747
2024-11-08 00:00:00+00:00,41752
2024-11-09 00:00:00+00:00,41767
2024-11-10 00:00:00+00:00,41774
2024-11-11 00:00:00+00:00,41787
2024-11-12 00:00:00+00:00,41804
2024-11-13 00:00:00+00:00,41818
2024-11-14 00:00:00+00:00,41828
2024-11-15 00:00:00+00:00,41837
2024-11-16 00:00:00+00:00,41842
2024-11-17 00:00:00+00:00,41853
2024-11-18 00:00:00+00:00,41862
2024-11-19 00:00:00+00:00,41875
2024-11-20 00:00:00+00:00,41893
2024-11-21 00:00:00+00:00,41907
2024-11-22 00:00:00+00:00,41918
2024-11-23 00:00:00+00:00,41931
2024-11-24 00:00:00+00:00,41939
2024-11-25 00:00:00+00:00,41953
2024-11-26 00:00:00+00:00,41963
2024-11-27 00:00:00+00:00,41973
2024-11-28 00:00:00+00:00,41983
2024-11-29 00:00:00+00:00,41989
2024-11-30 00:00:00+00:00,41994
2024-12-01 00:00:00+00:00,42003
2024-12-02 00:00:00+00:00,42010
2024-12-03 00:00:00+00:00,42029
2024-12-04 00:00:00+00:00,42044
2024-12-05 00:00:00+00:00,42058
2024-12-06 00:00:00+00:00,42070
2024-12-07 00:00:00+00:00,42076
2024-12-08 00:00:00+00:00,42087
2024-12-09 00:00:00+00:00,42102
2024-12-10 00:00:00+00:00,42111
2024-12-11 00:00:00+00:00,42121
2024-12-12 00:00:00+00:00,42130
2024-12-13 00:00:00+00:00,42139
2024-12-14 00:00:00+00:00,42154
2024-12-15 00:00:00+00:00,42165
2024-12-16 00:00:00+00:00,42174
2024-12-17 00:00:00+00:00,42190
2024-12-18 00:00:00+00:00,42202
2024-12-19 00:00:00+00:00,42214
2024-12-20 00:00:00+00:00,42225
2024-12-21 00:00:00+00:00,42230
2024-12-22 00:00:00+00:00,42242
2024-12-23 00:00:00+00:00,42260
2024-12-24 00:00:00+00:00,42285
2024-12-25 00:00:00+00:00,42306
2024-12-26 00:00:00+00:00,42323
2024-12-27 00:00:00+00:00,42339
2024-12-28 00:00:00+00:00,42356
2024-12-29 00:00:00+00:00,42367
2024-12-30 00:00:00+00:00,42374
2024-12-31 00:00:00+00:00,42386
2025-01-01 00:00:00+00:00,42390
2025-01-02 00:00:00+00:00,42407
2025-01-03 00:00:00+00:00,42425
2025-01-04 00:00:00+00:00,42434
2025-01-05 00:00:00+00:00,42447
2025-01-06 00:00:00+00:00,42466
2025-01-07 00:00:00+00:00,42482
2025-01-08 00:00:00+00:00,42491
2025-01-09 00:00:00+00:00,42509
2025-01-10 00:00:00+00:00,42524
2025-01-11 00:00:00+00:00,42535
2025-01-12 00:00:00+00:00,42547
2025-01-13 00:00:00+00:00,42562
2025-01-14 00:00:00+00:00,42595
2025-01-15 00:00:00+00:00,42607
2025-01-16 00:00:00+00:00,42627
2025-01-17 00:00:00+00:00,42638
2025-01-18 00:00:00+00:00,42651
2025-01-19 00:00:00+00:00,42659
2025-01-20 00:00:00+00:00,42676
2025-01-21 00:00:00+00:00,42690
2025-01-22 00:00:00+00:00,42704
2025-01-23 00:00:00+00:00,42718
2025-01-24 00:00:00+00:00,42729
